,Date,Nasdaq,Res,SqRes,CondV,Spline,st
"194-1",1985-07-19,0.29282597790887266,0.27949403093214858,0.078116913326700829,0.2899609321571906,0.38771490309155243,0.74787151550045305
"195-1",1985-07-22,-0.32541519116779938,-0.45757868303078225,0.2093782511641851,0.26443634399282551,0.38804360153846018,0.68146038987481261
"196-1",1985-07-23,-0.1957586269517364,-0.20247806880538161,0.040997368347156851,0.26554477334491688,0.38837235665039926,0.68373757503022303
"197-1",1985-07-24,-0.81981111718807398,-0.85283848762863212,0.72733348598069247,0.23993720626732268,0.38870116809937399,0.61727935483327689
"198-1",1985-07-25,0.23022539358281691,0.3238212176321591,0.10486018098877414,0.32828190224013204,0.38903003555701421,0.84384718976800122
"199-1",1985-07-26,0.065681447353060918,-0.053780090606496911,0.0028922981456430174,0.29811100364460846,0.38935895869457576,0.76564567730533517
"200-1",1985-07-29,-1.2221456825062482,-1.308220477472928,1.7114408176794957,0.25897741119582507,0.38968793718294104,0.66457641226458286
"201-1",1985-07-30,-0.09975063171250298,0.0754807738165304,0.0056973472159422209,0.49772517574094816,0.39001697069261909,1.2761628676235637
"202-1",1985-07-31,0.2325968817381785,0.18008903610688926,0.03243206092590846,0.41244512824264701,0.39034605889374652,1.0566140450131096
"203-1",1985-08-01,0.89212552699660108,0.77218280290186236,0.59626628109737645,0.35131995031932128,0.39067520145608742,0.89926350331404459
"204-1",1985-08-02,0.16433857437299082,-0.089425623438791721,0.0079969421274165755,0.39317858947099099,0.39100439804903425,1.0055605293260259
"205-1",1985-08-05,-0.79129987573249849,-0.89739266722656719,0.8053135991920124,0.33276228809896669,0.39133364834160811,0.85032884217635041
"206-1",1985-08-06,-0.63091691932655181,-0.5431061606819011,0.29496430177063498,0.41188512275045214,0.39166295200245904,1.0516315639368059
"207-1",1985-08-07,-0.66845168687228451,-0.61318338675410233,0.37599386579123106,0.39228141888638673,0.39199230869986668,1.0007375404570538
